year,month,observed(m3/s)
2011,1,3.26
2011,2,4.64
2011,3,4.62
2011,4,3.74
2011,5,22.7
2011,6,20.5
2011,7,36
2011,8,10.1
2011,9,12.9
2011,10,15.3
2011,11,9.98
2011,12,9.26
2012,1,5.04
2012,2,8.93
2012,3,9.54
2012,4,10.1
2012,5,25.3
2012,6,35.4
2012,7,82.7
2012,8,660
2012,9,56.5
2012,10,33
2012,11,28.8
2012,12,20.3
2013,1,27
2013,2,22.8
2013,3,22.6
2013,4,11.5
2013,5,12.6
2013,6,16.4
2013,7,183
2013,8,67.4
2013,9,38.8
2013,10,28.5
2013,11,38.5
2013,12,16.2
2014,1,10.2
2014,2,10.3
2014,3,12.3
2014,4,21.3
2014,5,8.6
2014,6,15.9
2014,7,20
2014,8,32.4
2014,9,26.1
2014,10,24.4
2014,11,18.2
2014,12,9.91
2015,1,6.81
2015,2,7.07
2015,3,7.71
2015,4,31.6
2015,5,23
2015,6,16
2015,7,19.1
2015,8,65.6
2015,9,28.3
2015,10,15.3
2015,11,14.1
2015,12,11
2016,1,8.93
2016,2,8.72
2016,3,9.97
2016,4,40.5
2016,5,58.4
2016,6,40.5
2016,7,156
2016,8,101
2016,9,38.8
2016,10,27.5
2016,11,29.7
2016,12,20.1
